Sector_12,Fiscal_Year,Year_End,Naive_Lag1_2024,GRU_L5_U64_DL_2025,GRU_L5_U64_Blend_2025,alpha
agriculture forestry fishing,24-25,2025,253185.88,209267.54627578496,209267.54627578496,1.0
communication broadcasting culture and toursim,24-25,2025,262565.88,275832.4148697138,275832.4148697138,1.0
defense security,24-25,2025,51126.31,52234.41743884325,52234.41743884325,1.0
economic services,24-25,2025,61298.689999999995,72711.06060941338,72711.06060941338,1.0
energy and natural resources,24-25,2025,246136.28,205037.34662992,205037.34662992,1.0
food distribution,24-25,2025,209052.25,138857.42799636722,138857.42799636722,1.0
governance and administration,24-25,2025,94545.62,109094.6268671894,109094.6268671894,1.0
infrastructure and transport,24-25,2025,352198.41000000003,231107.97533437551,231107.97533437551,1.0
regional and development,24-25,2025,31008.08,37361.85449879646,37361.85449879646,1.0
science and innovation,24-25,2025,28905.33,28233.372859398725,28233.372859398725,1.0
social and services,24-25,2025,252239.36,190560.93255828856,190560.93255828856,1.0
