Sector_12,Fiscal_Year,Year_End,Prev_Year_Amount,Forecast,Actual
agriculture forestry fishing,24-25,2025,253185.88,236856.19,
communication broadcasting culture and toursim,24-25,2025,262565.88,238025.98,
defense security,24-25,2025,51126.31,59692.066,
economic services,24-25,2025,61298.69,53421.45,
energy and natural resources,24-25,2025,246136.28,367894.66,
food distribution,24-25,2025,209052.25,193709.11,
governance and administration,24-25,2025,94545.62,112047.17,
infrastructure and transport,24-25,2025,352198.4,419919.5,
regional and development,24-25,2025,31008.08,41630.402,
science and innovation,24-25,2025,28905.33,32396.04,
social and services,24-25,2025,252239.36,261223.62,
